구분,단체이름,프로그램명,운영장소명,지원사업명,프로그램분야,프로그램대상,운영기간시작,운영기간종료,운영주소,시도,시군구,lat,lon
270,바리나모,드로잉바디 2기수,스튜디오 무밭,20+ 문화예술교육,"무용,융복합",청년,2025-06-15,2025-08-31,제주특별자치도 서귀포시 성산읍 삼달신풍로 127-37,제주특별자치도,서귀포시,33.3736235911605,126.839343122132
271,바리나모,드로잉바디 1기수,스튜디오 무밭,20+ 문화예술교육,"무용,융복합",청년,2025-03-23,2025-06-08,제주특별자치도 서귀포시 성산읍 삼달신풍로 127-37,제주특별자치도,서귀포시,33.3736235911605,126.839343122132
272,부평시인,우리도만날수있어!_문학소녀문학소년,서구드림아카데미,꿈다락,"문학,기타",,2024-06-10,2024-10-31,인천광역시 서구 새오개로54번길 15-1,인천,서구,37.5151682773681,126.667148163257
273,산체로움,인생N회차-크레이터의 삶,(주)KM 별관1층,2025 생애주기별 문화예술교육 지원사업 <꿈다락 문화,"공예,전통","청년,중장년",2025-07-06,2025-11-30,경상북도 영천시 언하공단2길 35,경북,영천시,35.9898934276892,128.958352579138
274,산체로움,‘뚝딱이’는 어른이들,(주) KM 별관 1층,2025 생애주기별 문화예술교육 지원사업 <꿈다락 문화,"음악,공예,융복합","청년,중장년",2025-06-27,2025-11-21,경상북도 영천시 언하공단2길 35,경북,영천시,35.9898934276892,128.958352579138
275,산체로움,나무 도깨비와 함께 하는 놀이가(歌) 노래다(多),2층 (사)한국판소리보존회 달성지부,2025 생애주기별 문화예술교육 지원사업 <꿈다락 문화,"국악,공예",아동,2025-07-06,2025-11-16,대구광역시 달성군 현풍읍 테크노공원로 31,대구,달성군,35.6918452088751,128.456217300536
276,아키씨네,기타포유 (Guitar for You),,,음악,청년,2022-09-01,2022-09-30,서울특별시 성북구 솔샘로5길 43-5,서울,성북구,37.610129420797,127.002981128817
277,아트로운,우리동네 상상극장,광남생활문화센터,꿈다락 문화예술학교,연극/뮤지컬,"청년,중장년",2024-08-01,2024-11-09,경기도 광주시 고불로46번길 47,경기,광주시,37.3942649744347,127.229086398813
278,아트뭉치,내가 만드는 이야기보따리,,꿈다락예술문화학교,미술,"중장년,노년",,,김제시 하동 1길 79 특별활동실,전북특별자치도,김제시,35.814714947383,126.893189027864
279,아트뭉치,꿈꾸는 1 m2  하우스,,꿈다락예술문화학교,미술,"아동,청소년,중장년",,,김제시 백산면 부동1길 96-80 토림 조물땅,전북특별자치도,김제시,35.8370011939506,126.925715840836
280,어글리밤,힙합문화예술교육 어글리팜 : 인디펜던트,와이홀(Y-HALL) / 어글리 스튜디오(UGLYBAAM STUDIO),,음악,청소년,2023-04-18,2023-11-28,충청북도 청주시 상당구 상당로59번길 51 B1.,충북,청주시 상당구,36.6334969970869,127.487687596507
281,어글리밤,힙합문화예술교육 어글리팜 : Slack Off,청년뜨락 5959 지하 1층,생애주기문화예술교육,음악,청소년,2025-04-30,2025-11-08,충청북도 청주시 상당구 상당로59번길 59,충북,청주시 상당구,36.6335138022922,127.48730240751
282,음악공장,메타버스~~~~~예술자랑!!!,,꿈다락예술문화학교,융복합,노년,,,원주시 한지공원길 151(무실동)) 원주한지테마파크 2층 회의실,강원특별자치도,원주시,37.3343755264909,127.935395728281
